City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,La Palma,US,2020-04-15 14:31:16,33.85,-118.05,62.6,71,1,1.77
242,Alyangula,AU,2020-04-15 14:26:51,-13.85,136.42,75.2,100,13,7.92
243,Izhma,RU,2020-04-15 14:31:16,65.01,53.91,37.51,85,87,7.14
244,Mastic Beach,US,2020-04-15 14:29:06,40.77,-72.85,44.6,52,75,13.87
245,San Cristobal,VE,2020-04-15 14:31:16,7.77,-72.22,78.8,78,75,3.36
246,Dosso,NE,2020-04-15 14:31:17,13.05,3.19,108.18,6,1,12.57
247,Pringsewu,ID,2020-04-15 14:31:17,-5.36,104.97,76.15,87,100,2.33
248,Mahebourg,MU,2020-04-15 14:31:17,-20.41,57.7,78.8,78,75,13.87
249,Centerville,US,2020-04-15 14:29:14,39.63,-84.16,46.0,41,1,13.87
250,Chuy,UY,2020-04-15 14:31:18,-33.7,-53.46,62.51,83,100,24.02
251,Milford,US,2020-04-15 14:30:50,41.22,-73.06,45.0,52,90,9.17
252,Kavieng,PG,2020-04-15 14:31:19,-2.57,150.8,82.26,73,100,2.98
253,Carutapera,BR,2020-04-15 14:31:19,-1.2,-46.02,79.07,84,100,4.12
254,Knysna,ZA,2020-04-15 14:31:19,-34.04,23.05,71.6,46,66,4.7
255,Kodiak,US,2020-04-15 14:31:19,57.79,-152.41,41.0,86,90,9.48
256,Narsaq,GL,2020-04-15 14:31:20,60.92,-46.05,33.8,80,75,4.7
257,Cabedelo,BR,2020-04-15 14:31:20,-6.98,-34.83,78.8,94,90,4.7
258,Iqaluit,CA,2020-04-15 14:31:20,63.75,-68.51,21.2,67,90,26.4
259,Ankazoabo,MG,2020-04-15 14:31:21,-22.28,44.52,81.63,40,31,4.7
260,Eyl,SO,2020-04-15 14:31:21,7.98,49.82,84.92,69,80,10.83
261,Comodoro Rivadavia,AR,2020-04-15 14:26:26,-45.87,-67.5,62.6,48,100,9.17
262,Seoul,KR,2020-04-15 14:28:07,37.57,126.98,55.4,34,1,1.25
263,Tucurui,BR,2020-04-15 14:31:22,-3.77,-49.67,80.76,72,94,3.53
